	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACO1	797.610828917306	767.769931769296	772.298297359707	724.617482792309	768.172926644663	901.637700410724	937.08128034821	857.213706220786
ACO2	2339.14714249787	2268.02231933521	1751.8188749377	1865.97925679645	1634.28025031175	2027.79387957985	2012.33529937304	1977.87686661551
ACOT1	59.4373454241261	55.6045075933195	50.7652975635152	57.1127080033347	50.497423464689	60.5843514109972	39.4779253361774	46.8057405892785
ACOT11	70.9413477642796	59.8817774081902	63.2485674561829	90.1309923177626	58.1485482320662	73.0576002309084	86.2281000763874	89.5995605566188
ACOT12	2.55644496447854	0	3.32887197137805	1.78477212510421	3.06044990695085	0.890946344279371	3.116678316014	0
ACOT13	1025.1344307559	979.494787605397	979.520577577991	1024.45919980982	1026.78094378201	960.440159133162	933.964602032196	978.90863175291
ACOT2	338.089846552287	329.349775745046	282.12189957429	321.258982518758	244.835992556068	291.339454579354	275.306584581237	310.255194763217
ACOT4	1.27822248223927	1.06931745371768	0.832217992844512	0	0	0.890946344279371	2.07778554400933	0
ACOT6	0	0	0	1.78477212510421	1.53022495347543	0	0	2.67461374795877
ACOT7	1328.0731590466	1286.38889682237	1323.22660862277	1363.56590357962	1146.13849015309	1717.74455177063	1685.08407619157	1658.26052373444
ACOT8	366.210741161551	358.221346995424	373.665878787186	428.34531002501	345.830839485446	398.253015892879	392.701467817764	369.09669721831
ACOT9	494.032989385479	546.421218849736	684.915408111033	680.890565727256	684.010554203515	604.952567765693	617.102306570772	623.185003274393
ACOX1	1605.44743769253	1543.02508571462	1433.07938367825	1397.4765739566	1543.9969780567	1579.64786840733	1705.86193163166	1594.06979378343
ACOX2	5.11288992895709	10.6931745371768	11.6510518998232	17.8477212510421	19.8929243951805	8.90946344279371	9.350034948042	8.02384124387631
ACOX3	290.156503468315	257.705506345962	254.658705810421	259.684344202662	232.594192928265	289.557561890796	279.462155669255	243.389851064248
ACOXL	39.6248969494174	38.4954283338366	88.2151072415183	98.1624668807315	88.7530473015747	116.713971100598	131.939382044593	135.067994271918
ACP1	3201.30820676826	3076.42631434577	2901.94414104881	2856.52778622929	3063.5103568578	3233.24428338984	3148.88399194615	3196.16342881073
ACP2	710.691700125035	654.422281675222	542.606131334622	541.678339969128	523.336934088595	786.705621998685	699.174835559141	735.518780688662
ACP5	3.19555620559818	3.20795236115305	1.66443598568902	4.46193031276052	1.53022495347543	2.67283903283811	2.07778554400933	6.68653436989692
ACP6	543.24455495169	602.025726443055	585.049248969692	624.670243786473	570.773907646334	534.567806567623	548.535383618464	522.88698772594
ACPL2	557.944113497442	594.540504267032	702.391985960768	775.483488357779	775.824051412041	750.176821883231	722.030476543244	760.92761129427
